[TRACE | 2017-06-14 10:12:17,604] | Begin CAMCalibrate
[TRACE | 2017-06-14 10:13:59,135] | Begin CAMCalibrate
[TRACE | 2017-06-14 10:16:13,634] | 	每幅图像的标定误差：
[TRACE | 2017-06-14 10:16:13,645] | 第1幅图像的平均误差：0.265413像素
[TRACE | 2017-06-14 10:16:13,655] | 第2幅图像的平均误差：0.230868像素
[TRACE | 2017-06-14 10:16:13,662] | 第3幅图像的平均误差：0.262425像素
[TRACE | 2017-06-14 10:16:13,669] | 第4幅图像的平均误差：0.195471像素
[TRACE | 2017-06-14 10:16:13,676] | 第5幅图像的平均误差：0.174931像素
[TRACE | 2017-06-14 10:16:13,684] | 第6幅图像的平均误差：0.161652像素
[TRACE | 2017-06-14 10:16:13,691] | 第7幅图像的平均误差：0.190841像素
[TRACE | 2017-06-14 10:16:13,697] | 第8幅图像的平均误差：0.179106像素
[TRACE | 2017-06-14 10:16:13,705] | 第9幅图像的平均误差：0.111631像素
[TRACE | 2017-06-14 10:16:13,712] | 第10幅图像的平均误差：0.175472像素
[TRACE | 2017-06-14 10:16:13,719] | 第11幅图像的平均误差：0.135419像素
[TRACE | 2017-06-14 10:16:13,727] | 第12幅图像的平均误差：0.177497像素
[TRACE | 2017-06-14 10:16:13,734] | 第13幅图像的平均误差：0.144477像素
[TRACE | 2017-06-14 10:16:13,742] | 第14幅图像的平均误差：0.17934像素
[TRACE | 2017-06-14 10:16:13,749] | 第15幅图像的平均误差：0.195279像素
[TRACE | 2017-06-14 10:16:13,757] | 第16幅图像的平均误差：0.247499像素
[TRACE | 2017-06-14 10:16:13,766] | 第17幅图像的平均误差：0.212503像素
[TRACE | 2017-06-14 10:16:13,773] | 第18幅图像的平均误差：0.236841像素
[TRACE | 2017-06-14 10:16:13,779] | 第19幅图像的平均误差：0.166464像素
[TRACE | 2017-06-14 10:16:13,786] | 第20幅图像的平均误差：0.133838像素
[TRACE | 2017-06-14 10:16:13,794] | 第21幅图像的平均误差：0.167116像素
[TRACE | 2017-06-14 10:16:13,802] | 第22幅图像的平均误差：0.280216像素
[TRACE | 2017-06-14 10:16:13,810] | 总体平均误差：0.192014像素
[TRACE | 2017-06-14 10:16:13,815] | 评价完成！
[TRACE | 2017-06-14 10:16:14,231] | newcameraMatrix = [0, 0, 0;
 0, 0, 0;
 0, 0, 0]
[TRACE | 2017-06-14 10:16:14,237] | distCoeffs = [-0.1468817475040375, 0.3836613717122455, -0.0001370345067288323, -0.002937489405845631, -1.026599240624107]
